Team Number,Match Number,auton balls,tarmac,lower balls,upper balls,hang,failures
6925,1,1,1,0,3,0,0
6340,1,0,1,0,7,4,0
2974,1,0,0,0,0,0,1
8736,1,3,1,0,10,2,0
1683,1,2,1,0,7,0,1
8083,1,0,1,0,0,4,1
6829,3,2,1,0,6,0,0
3635,3,2,1,3,4,3,0
6341,3,2,1,0,6,0,1
8080,3,1,1,0,0,4,0
8866,3,2,1,0,5,2,0
1771,3,0,1,0,8,3,0
1414,4,0,1,7,0,4,0
4189,4,0,1,0,3,3,0
5632,4,1,1,8,0,1,0
4509,4,0,0,0,5,0,0
1261,4,2,1,0,10,4,0
4188,4,3,1,0,4,2,0
8849,5,0,0,0,0,0,0
1648,5,1,0,1,0,3,1
1311,5,0,1,0,4,0,1
6712,5,0,1,0,0,0,0
3344,5,1,0,0,4,2,0
6919,5,2,1,0,9,0,0
7470,6,0,1,0,0,2,0
6341,6,1,1,0,3,2,0
6910,6,0,0,0,0,1,0
8083,6,0,1,4,0,3,0
4701,6,0,1,0,2,0,0
2974,6,1,1,0,20,0,0
8849,8,0,0,0,0,0,1
7315,8,0,1,1,0,2,0
5632,8,1,1,5,0,2,0
6919,8,1,0,0,6,2,0
1311,8,1,1,0,3,2,0
8736,8,4,1,2,19,0,0
1683,9,0,0,0,0,0,0
1746,9,2,1,0,15,3,0
1261,9,1,1,0,11,2,0
6925,9,0,1,0,1,0,0
4189,9,0,1,0,1,4,0
8866,9,2,1,0,4,3,0
8080,10,1,1,0,0,4,0
6340,10,1,1,0,0,4,0
1648,10,2,0,0,0,3,0
1771,10,6,1,0,16,0,1
6910,10,0,1,0,0,1,0
6341,12,2,1,1,7,2,0
6925,12,1,1,4,0,2,0
4509,12,1,0,0,4,0,0
8736,12,4,1,0,17,0,0
8849,13,0,0,0,0,0,1
8080,13,1,1,1,0,0,0
6705,13,1,1,0,1,4,0
4189,13,0,1,0,7,3,0
2974,13,5,1,0,14,2,0
3344,14,1,1,0,2,0,1
6712,14,0,0,7,0,0,0
1746,14,1,1,3,3,0,0
5632,14,1,1,8,0,2,0
832,15,0,0,0,0,0,0
3635,15,1,1,2,1,2,0
6910,15,0,1,0,0,2,0
7315,16,1,1,0,0,0,0
1771,16,5,1,0,18,2,0
4188,16,3,1,0,11,3,0
8083,16,1,1,0,0,4,0
1261,16,1,1,0,5,0,0
6829,17,2,1,0,9,3,0
1746,17,0,1,0,13,2,0
5632,17,1,1,7,0,2,0
3344,17,2,1,0,0,0,1
1746,17,0,1,0,14,2,0
8736,17,4,1,3,24,0,0
6910,18,0,0,0,0,2,0
832,18,1,1,1,2,3,0
4509,18,2,1,0,10,2,0
1311,18,1,1,0,3,0,0
1414,18,0,1,0,1,4,0
8849,19,0,0,0,0,0,0
6705,19,1,1,0,11,4,0
8866,19,1,1,0,7,0,0
1261,19,1,1,0,2,0,0
7315,20,0,1,9,0,0,0
6340,20,0,0,0,5,3,0
6341,20,0,1,0,0,2,0
4701,20,0,1,0,0,0,0
6925,20,0,1,0,1,2,0
7470,22,1,1,3,0,2,0
8080,22,0,0,0,0,4,0
1311,22,1,1,0,6,0,0
1771,22,2,1,0,20,0,0
4188,22,0,1,0,0,0,1
8849,23,0,0,0,0,0,0
6340,23,1,1,0,9,4,0
1216,23,2,1,0,12,2,0
6705,23,2,1,0,8,3,1
4509,23,1,1,0,9,0,0
4701,23,1,0,0,7,0,0
1683,24,3,1,7,1,0,0
1414,24,0,0,0,5,0,0
5632,24,1,1,3,0,0,0
6925,24,1,1,0,0,0,0
6712,24,1,1,2,0,2,0
6925,24,2,1,0,0,4,0
6919,26,4,1,0,5,3,0
6910,26,0,1,0,0,2,0
4188,26,2,1,0,13,3,0
8736,26,3,1,0,7,2,0
6341,26,0,0,0,0,0,0
8080,26,1,1,0,0,4,0
1746,27,0,0,0,10,3,0
8083,27,2,1,5,0,0,1
1311,27,1,1,0,5,0,0
7315,27,1,1,8,0,0,0
1771,29,5,1,0,16,0,0
5632,29,1,1,6,0,0,1
1414,29,2,1,0,2,4,0
8736,29,0,1,0,0,0,0
8866,29,1,1,0,0,0,0
8083,30,1,1,0,0,4,0
4188,30,3,1,0,9,3,0
4701,30,1,1,1,2,0,0
4509,30,1,1,0,0,2,1
3344,30,1,1,0,0,0,0
8849,31,0,0,0,0,0,1
6829,31,2,1,0,2,3,1
1683,31,0,1,9,5,0,0
6341,31,1,1,0,0,2,0
6910,31,0,0,0,0,2,0
7315,31,1,1,8,0,1,0
4189,32,1,1,0,3,4,0
6919,32,1,1,0,8,3,0
1648,32,0,1,10,0,0,0
7470,32,1,1,3,0,2,0
1746,32,2,1,0,9,0,0
6340,32,1,1,0,8,3,0
8083,34,0,1,2,0,4,0
6712,34,1,1,1,0,2,0
3344,34,1,1,0,4,2,0
8080,34,1,1,0,0,3,0
8866,34,0,1,0,3,2,0
1311,35,1,1,0,7,2,0
3635,35,2,1,2,3,3,0
4189,35,1,1,6,0,3,0
6341,36,1,1,0,7,0,0
832,36,3,1,1,6,3,0
1771,36,6,1,0,18,3,0
1683,36,1,1,1,0,0,0
6910,37,0,1,0,0,2,0
7470,37,0,1,4,0,4,0
4509,36,1,1,0,12,0,0
1746,37,2,1,0,10,2,0
6340,38,2,1,0,8,4,0
8866,38,1,1,0,4,2,0
7315,38,1,1,6,0,0,0
2974,38,3,1,0,22,0,0
8080,38,0,1,0,0,0,1
4701,39,0,1,4,3,0,0
6712,39,1,1,0,0,0,0
4189,39,1,1,0,4,2,0
6705,39,2,1,0,5,0,0
8849,41,0,0,0,0,0,0
6340,41,1,1,0,5,4,0
8736,41,4,1,0,11,0,0
832,41,0,1,0,7,3,0
8083,41,1,1,1,0,4,0
1414,42,4,1,0,10,4,0
6341,42,0,1,0,6,0,0
1261,42,1,1,0,12,3,0
3635,42,1,1,1,0,3,0
4188,43,0,0,0,0,0,0
1746,43,0,1,0,1,3,1
1648,44,1,1,4,0,2,0
6925,43,0,1,0,5,2,0
8866,44,0,1,0,3,3,0
8080,44,1,1,0,0,4,0
6919,44,3,1,0,8,2,0
6829,44,1,1,0,13,2,0
4509,44,2,1,0,14,0,0
6925,46,1,1,0,1,0,1
1261,46,1,1,0,10,3,0
6341,46,2,1,0,8,2,0
3344,46,1,1,0,1,0,1
6712,47,1,1,0,0,0,0
1771,47,4,1,0,17,2,0
4189,47,4,1,0,11,2,0
1311,48,1,1,0,7,0,0
3635,48,1,1,0,2,2,0
1746,50,2,1,2,5,2,0
4189,50,2,1,0,11,0,0
8736,51,2,1,0,15,2,0
2974,51,2,1,0,27,0,0
7470,52,0,0,0,0,0,1
8866,52,2,1,1,3,2,0
1311,53,1,1,0,7,2,0
4509,53,2,1,0,6,0,0
6829,54,2,1,0,11,3,0
2974,54,6,1,0,22,0,0
1414,55,1,1,0,0,0,0
1683,55,2,1,0,11,2,0
8866,56,2,1,0,2,2,0
6910,56,0,1,0,0,2,0